Tema Queja;Año;Área;Número de quejas;Proporción
Contaminación por aire;2017;Antonio Nariño;2;3,5
Contaminación por aire;2017;Puente Aranda;1;1,8
Contaminación por aire;2017;La Candelaria;0;0
Contaminación por aire;2017;Rafael Uribe Uribe;1;1,8
Contaminación por aire;2017;Ciudad Bolívar;4;7
Contaminación por aire;2017;Distrito;57;100
Humo de tabaco;2017;Usaquén;1;5,6
Humo de tabaco;2017;Chapinero;2;11,1
Humo de tabaco;2017;Santa Fe;2;11,1
Humo de tabaco;2017;San Cristóbal;1;5,6
Humo de tabaco;2017;Usme;0;0
Humo de tabaco;2017;Tunjuelito;1;5,6
Humo de tabaco;2017;Bosa;0;0
Humo de tabaco;2017;Kennedy;0;0
Humo de tabaco;2017;Fontibón;1;5,6
Humo de tabaco;2017;Engativá;2;11,1
Humo de tabaco;2017;Suba;2;11,1
Humo de tabaco;2017;Barrios Unidos;0;0
Humo de tabaco;2017;Teusaquillo;0;0
Humo de tabaco;2017;Los Mártires;0;0
Humo de tabaco;2017;Antonio Nariño;3;16,7
Humo de tabaco;2017;Puente Aranda;1;5,6
Humo de tabaco;2017;La Candelaria;2;11,1
Humo de tabaco;2017;Rafael Uribe Uribe;0;0
Humo de tabaco;2017;Ciudad Bolívar;0;0
Humo de tabaco;2017;Distrito;18;100
Olores ofensivos;2017;Usaquén;11;8,9
Olores ofensivos;2017;Chapinero;5;4
Olores ofensivos;2017;Santa Fe;3;2,4
Olores ofensivos;2017;San Cristóbal;4;3,2
Olores ofensivos;2017;Usme;5;4
Olores ofensivos;2017;Tunjuelito;6;4,8
Olores ofensivos;2017;Bosa;13;10,5
Olores ofensivos;2017;Kennedy;7;5,6
Olores ofensivos;2017;Fontibón;6;4,8
Olores ofensivos;2017;Engativá;13;10,5
Olores ofensivos;2017;Suba;20;16,1
Olores ofensivos;2017;Barrios Unidos;8;6,5
Olores ofensivos;2017;Teusaquillo;1;0,8
Olores ofensivos;2017;Los Mártires;4;3,2
Olores ofensivos;2017;Antonio Nariño;3;2,4
Olores ofensivos;2017;Puente Aranda;2;1,6
Olores ofensivos;2017;La Candelaria;1;0,8
Olores ofensivos;2017;Rafael Uribe Uribe;5;4
Olores ofensivos;2017;Ciudad Bolívar;7;5,6
Olores ofensivos;2017;Distrito;124;100
Contaminación por ruido;2017;Usaquén;5;4,7
Contaminación por ruido;2017;Chapinero;1;0,9
Contaminación por ruido;2017;Santa Fe;2;1,9
Contaminación por ruido;2017;San Cristóbal;4;3,8
Contaminación por ruido;2017;Usme;1;0,9
Contaminación por ruido;2017;Tunjuelito;0;0
Contaminación por ruido;2017;Bosa;47;44,3
Contaminación por ruido;2017;Kennedy;8;7,5
Contaminación por ruido;2017;Fontibón;2;1,9
Contaminación por ruido;2017;Engativá;9;8,5
Contaminación por ruido;2017;Suba;6;5,7
Contaminación por ruido;2017;Barrios Unidos;6;5,7
Contaminación por ruido;2017;Teusaquillo;1;0,9
Contaminación por ruido;2017;Los Mártires;0;0
Contaminación por ruido;2017;Antonio Nariño;1;0,9
Contaminación por ruido;2017;Puente Aranda;3;2,8
Contaminación por ruido;2017;La Candelaria;2;1,9
Contaminación por ruido;2017;Rafael Uribe Uribe;6;5,7
Contaminación por ruido;2017;Ciudad Bolívar;2;1,9
Contaminación por ruido;2017;Distrito;106;100
Radiaciones electromagnéticas;2017;Usaquén;2;20
Radiaciones electromagnéticas;2017;Chapinero;1;10
Radiaciones electromagnéticas;2017;Santa Fe;0;0
Radiaciones electromagnéticas;2017;San Cristóbal;0;0
Radiaciones electromagnéticas;2017;Usme;0;0
Radiaciones electromagnéticas;2017;Tunjuelito;0;0
Radiaciones electromagnéticas;2017;Bosa;1;10
Radiaciones electromagnéticas;2017;Kennedy;1;10
Radiaciones electromagnéticas;2017;Fontibón;1;10
Radiaciones electromagnéticas;2017;Engativá;1;10
Radiaciones electromagnéticas;2017;Suba;1;10
Radiaciones electromagnéticas;2017;Barrios Unidos;0;0
Radiaciones electromagnéticas;2017;Teusaquillo;1;10
Radiaciones electromagnéticas;2017;Los Mártires;0;0
Radiaciones electromagnéticas;2017;Antonio Nariño;0;0
Radiaciones electromagnéticas;2017;Puente Aranda;0;0
Radiaciones electromagnéticas;2017;La Candelaria;0;0
Radiaciones electromagnéticas;2017;Rafael Uribe Uribe;1;10
Radiaciones electromagnéticas;2017;Ciudad Bolívar;0;0
Radiaciones electromagnéticas;2017;Distrito;10;100
Contaminación por aire;2018;Usaquén;1;2,8
Contaminación por aire;2018;Chapinero;5;13,9
Contaminación por aire;2018;Santa Fe;1;2,8
Contaminación por aire;2018;San Cristóbal;3;8,3
Contaminación por aire;2018;Usme;1;2,8
Contaminación por aire;2018;Tunjuelito;3;8,3
Contaminación por aire;2018;Bosa;1;2,8
Contaminación por aire;2018;Kennedy;7;19,4
Contaminación por aire;2018;Fontibón;1;2,8
Contaminación por aire;2018;Engativá;0;0
Contaminación por aire;2018;Suba;3;8,3
Contaminación por aire;2018;Barrios Unidos;1;2,8
Contaminación por aire;2018;Teusaquillo;1;2,8
Contaminación por aire;2018;Los Mártires;1;2,8
Contaminación por aire;2018;Antonio Nariño;1;2,8
Contaminación por aire;2018;Puente Aranda;1;0
Contaminación por aire;2018;La Candelaria;0;2,8
Contaminación por aire;2018;Rafael Uribe Uribe;1;2,8
Contaminación por aire;2018;Ciudad Bolívar;4;11,1
Contaminación por aire;2018;Distrito;36;100
Humo de tabaco;2018;Usaquén;3;12
Humo de tabaco;2018;Chapinero;2;8
Humo de tabaco;2018;Santa Fe;1;4
Humo de tabaco;2018;San Cristóbal;1;4
Humo de tabaco;2018;Usme;0;0
Humo de tabaco;2018;Tunjuelito;0;0
Humo de tabaco;2018;Bosa;3;12
Humo de tabaco;2018;Kennedy;1;4
Humo de tabaco;2018;Fontibón;1;4
Humo de tabaco;2018;Engativá;5;20
Humo de tabaco;2018;Suba;3;12
Humo de tabaco;2018;Barrios Unidos;2;8
Humo de tabaco;2018;Teusaquillo;1;4
Humo de tabaco;2018;Los Mártires;1;4
Humo de tabaco;2018;Antonio Nariño;0;0
Humo de tabaco;2018;Puente Aranda;1;0
Humo de tabaco;2018;La Candelaria;0;4
Humo de tabaco;2018;Rafael Uribe Uribe;0;0
Humo de tabaco;2018;Ciudad Bolívar;0;0
Humo de tabaco;2018;Distrito;25;100
Radiaciones electromagnéticas;2018;Usaquén;3;20
Radiaciones electromagnéticas;2018;Chapinero;2;13,3
Radiaciones electromagnéticas;2018;Santa Fe;0;0
